gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3465483371	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/2/0e02a636-a3bd-466d-a047-9eab2150862f_image.jpg										http://creativecommons.org/licenses/by/4.0/	Are Nakrem
3465473356	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/2/7dec0acc-50ca-4f4e-9808-796db7c7635e_image.jpg										© All rights reserved	Siri Sofie Børseth
3465473356	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/2/54776e92-7bc5-49a3-aaf9-943cf7c32824_image.jpg										© All rights reserved	Siri Sofie Børseth
3465473356	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/2/ce5090c7-c972-4988-b1dd-ea5857ee032a_image.jpg										© All rights reserved	Siri Sofie Børseth
3465471436	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/2/63bd3497-7284-42d7-8996-396db83b4295_image.jpg										http://creativecommons.org/licenses/by/4.0/	Are Nakrem
3465471436	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/2/116da0f5-f8cf-43b2-a0e9-6dfa797a1a4e_image.jpg										http://creativecommons.org/licenses/by/4.0/	Are Nakrem
3465471436	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/2/a4306315-ef26-4667-91ba-7ead13e626ce_image.jpg										http://creativecommons.org/licenses/by/4.0/	Are Nakrem
3465451380	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/2/c9b2e1c6-0465-4078-83a2-bc8375093b14_image.jpg										© All rights reserved	Arild Halseth
3465380357	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/2/824e258c-f1b8-4e18-bf22-877cb7123424_image.jpg										© All rights reserved	Stig Gaarden
3462831383	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/2/319475be-b5df-4735-b9d4-f2b6d6d345e8_image.jpg										© All rights reserved	Stig Gaarden
